playlist_country,artist_name,track_name,release_date,popularity,track_id,playlist_id
Global,Artemas,i like the way you kiss me,2024-03-19,97,2GxrNKugF82CnoRFbQfzPf,37i9dQZEVXbNG2KDcFcKOF
Global,Hozier,Too Sweet,2024-03-22,86,0AjmK0Eai4zGrLaJwPvrDp,37i9dQZEVXbNG2KDcFcKOF
Global,Benson Boone,Beautiful Things,2024-04-05,82,3xkHsmpQCBMytMJNiDf3Ii,37i9dQZEVXbNG2KDcFcKOF
Global,Djo,End of Beginning,2022-09-16,99,3qhlB30KknSejmIvZZLjOD,37i9dQZEVXbNG2KDcFcKOF
Global,Ariana Grande,we can't be friends (wait for your love),2024-03-08,95,51ZQ1vr10ffzbwIjDCwqm4,37i9dQZEVXbNG2KDcFcKOF
Global,FloyyMenor,Gata Only,2024-02-02,96,6XjDF6nds4DE2BBbagZol6,37i9dQZEVXbNG2KDcFcKOF
Global,Future,Like That,2024-03-22,96,2tudvzsrR56uom6smgOcSf,37i9dQZEVXbNG2KDcFcKOF
Global,Tate McRae,greedy,2023-09-15,97,3rUGC1vUpkDG9CZFHMur1t,37i9dQZEVXbNG2KDcFcKOF
Global,Teddy Swims,Lose Control,2023-09-15,93,17phhZDn6oGtzMe56NuWvj,37i9dQZEVXbNG2KDcFcKOF
Global,Beyoncé,TEXAS HOLD 'EM,2024-03-29,87,7wLShogStyDeZvL0a6daN5,37i9dQZEVXbNG2KDcFcKOF
Global,ILLIT,Magnetic,2024-03-25,92,1aKvZDoLGkNMxoRYgkckZG,37i9dQZEVXbNG2KDcFcKOF
Global,¥$,CARNIVAL,2024-02-09,96,3w0w2T288dec0mgeZZqoNN,37i9dQZEVXbNG2KDcFcKOF
Global,Taylor Swift,Cruel Summer,2019-08-23,96,1BxfuPKGuaTgP7aM0Bbdwr,37i9dQZEVXbNG2KDcFcKOF
Global,The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",2023-06-23,93,7CyPwkp0oE8Ro9Dd5CUDjW,37i9dQZEVXbNG2KDcFcKOF
Global,Noah Kahan,Stick Season,2022-10-14,95,0mflMxspEfB0VbI1kyLiAv,37i9dQZEVXbNG2KDcFcKOF
Global,Feid,LUNA,2023-12-01,94,7bywjHOc0wSjGGbj04XbVi,37i9dQZEVXbNG2KDcFcKOF
Global,Bizarrap,"Natanael Cano: Bzrp Music Sessions, Vol. 59",2024-04-02,85,2DbV9TSdeGr5FobCFDRzvq,37i9dQZEVXbNG2KDcFcKOF
Global,Natanael Cano,Madonna,2024-03-08,92,5LhI8m7n8xlQmNe3b7Rwis,37i9dQZEVXbNG2KDcFcKOF
Global,Travis Scott,FE!N (feat. Playboi Carti),2023-07-28,93,42VsgItocQwOQC3XWZ8JNA,37i9dQZEVXbNG2KDcFcKOF
Global,Mitski,My Love Mine All Mine,2023-09-15,95,3vkCueOmm7xQDoJ17W1Pm3,37i9dQZEVXbNG2KDcFcKOF
Global,Xavi,Corazón de Piedra,2024-03-21,90,0dEAiKNbHt4mrjjoiL0loc,37i9dQZEVXbNG2KDcFcKOF
Global,Dasha,Austin,2024-02-16,89,2uqYupMHANxnwgeiXTZXzd,37i9dQZEVXbNG2KDcFcKOF
Global,SZA,Saturn,2024-02-22,93,1bjeWoagtHmUKputLVyDxQ,37i9dQZEVXbNG2KDcFcKOF
Global,Xavi,La Diabla,2023-11-30,94,0R6NfOiLzLj4O5VbYSJAjf,37i9dQZEVXbNG2KDcFcKOF
Global,Michael Marcagi,Scared To Start,2024-01-12,92,3Pbp7cUCx4d3OAkZSCoNvn,37i9dQZEVXbNG2KDcFcKOF
Global,Future,Type Shit,2024-03-22,91,28drn6tQo95MRvO0jQEo5C,37i9dQZEVXbNG2KDcFcKOF
Global,Arctic Monkeys,I Wanna Be Yours,2013-09-09,93,5XeFesFbtLpXzIVDNQP22n,37i9dQZEVXbNG2KDcFcKOF
Global,Myke Towers,LA FALDA,2023-09-18,93,7iUtQNMRB8ZkKC4AmEuCJC,37i9dQZEVXbNG2KDcFcKOF
Global,Natasha Bedingfield,Unwritten,2004-08-30,92,3U5JVgI2x4rDyHGObzJfNf,37i9dQZEVXbNG2KDcFcKOF
Global,Tyla,Water,2023-07-28,92,5aIVCx5tnk0ntmdiinnYvw,37i9dQZEVXbNG2KDcFcKOF
Global,Benson Boone,Slow It Down,2024-04-05,81,51eSHglvG1RJXtL3qI5trr,37i9dQZEVXbNG2KDcFcKOF
Global,21 Savage,redrum,2024-01-12,93,52eIcoLUM25zbQupAZYoFh,37i9dQZEVXbNG2KDcFcKOF
Global,Tom Odell,Another Love,2013-06-24,90,3JvKfv6T31zO0ini8iNItO,37i9dQZEVXbNG2KDcFcKOF
Global,Lord Huron,The Night We Met,2015-04-07,80,0QZ5yyl6B6utIWkxeBDxQN,37i9dQZEVXbNG2KDcFcKOF
Global,Dua Lipa,Training Season,2024-02-15,92,6Qb7YsAqH4wWFUMbGsCpap,37i9dQZEVXbNG2KDcFcKOF
Global,Dua Lipa,Houdini,2023-11-09,92,4OMJGnvZfDvsePyCwRGO7X,37i9dQZEVXbNG2KDcFcKOF
Global,Zach Bryan,I Remember Everything (feat. Kacey Musgraves),2023-08-25,92,4KULAymBBJcPRpk1yO4dOG,37i9dQZEVXbNG2KDcFcKOF
Global,Jung Kook,Seven (feat. Latto) (Explicit Ver.),2023-11-03,87,2HRgqmZQC0MC7GeNuDIXHN,37i9dQZEVXbNG2KDcFcKOF
Global,Ariana Grande,intro (end of the world),2024-03-08,90,2o1pb13quMReXZqE7jWsgq,37i9dQZEVXbNG2KDcFcKOF
Global,Bad Bunny,PERRO NEGRO,2023-10-13,92,7iQXYTyuG13aoeHxGG28Nh,37i9dQZEVXbNG2KDcFcKOF
Global,Mark Ambor,Belong Together,2024-02-16,88,5uQ7de4EWjb3rkcFxyEOpu,37i9dQZEVXbNG2KDcFcKOF
Global,Peso Pluma,LA PEOPLE II,2024-03-21,88,7EWtB4NKYY3NqBl31PVip9,37i9dQZEVXbNG2KDcFcKOF
Global,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",2023-07-13,91,6wf7Yu7cxBSPrRlWeSeK0Q,37i9dQZEVXbNG2KDcFcKOF
Global,J. Cole,7 Minute Drill,2024-04-05,82,2mhdhTWqT8RhkTlN2yWZZi,37i9dQZEVXbNG2KDcFcKOF
Global,The Weeknd,Starboy,2016-11-25,91,7MXVkk9YMctZqd1Srtv4MB,37i9dQZEVXbNG2KDcFcKOF
Global,Jack Harlow,Lovin On Me,2023-11-10,93,4xhsWYTOGcal8zt0J161CU,37i9dQZEVXbNG2KDcFcKOF
Global,Richy Mitch & The Coal Miners,Evergreen,2017-05-17,90,6me7F0aaZjwDo6RJ5MrfBD,37i9dQZEVXbNG2KDcFcKOF
Global,KAROL G,QLONA,2023-08-10,90,5RqSsdzTNPX1uzkmlHCFvK,37i9dQZEVXbNG2KDcFcKOF
Global,Sabrina Carpenter,Feather,2023-03-17,91,2Zo1PcszsT9WQ0ANntJbID,37i9dQZEVXbNG2KDcFcKOF
Global,Beyoncé,II MOST WANTED,2024-03-27,76,6zuPQl2RVqQ4y5nAH61CFC,37i9dQZEVXbNG2KDcFcKOF
Brazil,DJ JZ,Mtg Quero Te Encontrar,2024-02-23,82,5GV7OpSEb8MPTryL0Q5i6c,37i9dQZEVXbKzoK95AbRy9
Brazil,MC Saci,Aquariano Nato,2023-07-25,84,3hfCle1QRfbwIpQ1B746lV,37i9dQZEVXbKzoK95AbRy9
Brazil,Mc IG,Diz Aí Qual é o Plano?,2024-03-21,74,7pnqm6UEb7SzpDxb53wULT,37i9dQZEVXbKzoK95AbRy9
Brazil,Jorge & Mateus,Haverá Sinais - Ao Vivo,2024-02-14,84,6X6jKoyw1OjogRghMEQAZV,37i9dQZEVXbKzoK95AbRy9
Brazil,Luan Pereira,ENTRA NA DEFENDER,2024-03-21,80,6P1mkNAmgihFwFRBhpaev3,37i9dQZEVXbKzoK95AbRy9
Brazil,MC Saci,De 10 Mulher 11 É Maluca,2023-10-18,82,1jN0ysNJ2d9VZwVdlgspjr,37i9dQZEVXbKzoK95AbRy9
Brazil,NATTAN,Amor Na Praia,2024-03-07,81,3FB06ULqN0WNUSQ3UaMZnF,37i9dQZEVXbKzoK95AbRy9
Brazil,DENNIS,RAM TCHUM,2024-02-29,83,6mJCx80Wc91GPi9ew9bkmD,37i9dQZEVXbKzoK95AbRy9
Brazil,Dj Lc,A Internet É Toxica,2023-08-29,81,6Gn8SHd3RIWjOermcidCJk,37i9dQZEVXbKzoK95AbRy9
Brazil,Mc IG,"É Isso Bebê, Tá Certa!",2024-03-21,79,6xW61JP2f3hcsbOwn7dzi5,37i9dQZEVXbKzoK95AbRy9
Brazil,Tz da Coronel,Qual é seu desejo?,2024-02-29,83,2HzLEPWKXcfpwfmEIUURHo,37i9dQZEVXbKzoK95AbRy9
Brazil,Matheus & Kauan,Não Recomendo - Ao Vivo,2023-11-28,83,4ssTFuVeNJG8py5dr2P2pV,37i9dQZEVXbKzoK95AbRy9
Brazil,Murilo Huff,Anestesiado - Ao Vivo,2024-03-28,64,5r0JHIjcY7dLWHkljNeQbj,37i9dQZEVXbKzoK95AbRy9
Brazil,Zé Neto & Cristiano,Barulho Do Foguete - Ao Vivo,2023-06-22,84,42JNab8NPeCADJ9D3Cl5wS,37i9dQZEVXbKzoK95AbRy9
Brazil,Tropa do Bruxo,TUMBÁTUM,2023-12-22,81,24R0oyjvhV4HIFFvoK3XkP,37i9dQZEVXbKzoK95AbRy9
Brazil,TR,Baby Eu Tava na Rua da Água,2023-12-01,84,4sAoshwHCmh4IHMQxZHwRD,37i9dQZEVXbKzoK95AbRy9
