playlist_name,artist_name,track_name,popularity,track_id
Top Songs - Global,Benson Boone,Beautiful Things,100,6tNQ70jh4OwmPGpYy6R2o9
Top Songs - Global,Ariana Grande,we can't be friends (wait for your love),94,51ZQ1vr10ffzbwIjDCwqm4
Top Songs - Global,Djo,End of Beginning,98,3qhlB30KknSejmIvZZLjOD
Top Songs - Global,Future,Like That,92,2tudvzsrR56uom6smgOcSf
Top Songs - Global,¥$,CARNIVAL,96,3w0w2T288dec0mgeZZqoNN
Top Songs - Global,Teddy Swims,Lose Control,93,17phhZDn6oGtzMe56NuWvj
Top Songs - Global,Tate McRae,greedy,96,3rUGC1vUpkDG9CZFHMur1t
Top Songs - Global,Hozier,Too Sweet,51,0AjmK0Eai4zGrLaJwPvrDp
Top Songs - Global,FloyyMenor,Gata Only,94,6XjDF6nds4DE2BBbagZol6
Top Songs - Global,Taylor Swift,Cruel Summer,96,1BxfuPKGuaTgP7aM0Bbdwr
Top Songs - Global,Future,Type Shit,88,28drn6tQo95MRvO0jQEo5C
Top Songs - Global,Artemas,i like the way you kiss me,89,2GxrNKugF82CnoRFbQfzPf
Top Songs - Global,The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",86,1VNWdmXSbaNrnWod10WIL0
Top Songs - Global,Beyoncé,TEXAS HOLD 'EM,86,7AYmToZ5y67fBjq4RLFbuq
Top Songs - Global,Noah Kahan,Stick Season,94,0mflMxspEfB0VbI1kyLiAv
Top Songs - Global,Feid,LUNA,94,7bywjHOc0wSjGGbj04XbVi
Top Songs - Global,Future,Cinderella,87,0hKtu53OlIFXVuYkZwcn3o
Top Songs - Global,Mitski,My Love Mine All Mine,95,3vkCueOmm7xQDoJ17W1Pm3
Top Songs - Global,Xavi,La Diabla,94,0R6NfOiLzLj4O5VbYSJAjf
Top Songs - Global,Olivia Rodrigo,obsessed,86,6tNgRQ0K2NYZ0Rb9l9DzL8
Top Songs - Global,Natanael Cano,Madonna,89,5LhI8m7n8xlQmNe3b7Rwis
Top Songs - Global,Future,We Don't Trust You,85,1pnDvUuAEd6z8bKEsbAjk1
Top Songs - Global,21 Savage,redrum,94,52eIcoLUM25zbQupAZYoFh
Top Songs - Global,Arctic Monkeys,I Wanna Be Yours,93,5XeFesFbtLpXzIVDNQP22n
Top Songs - Global,Future,Young Metro,85,3OxL6MuctgZp1e0zxoAZhH
Top Songs - Global,Travis Scott,FE!N (feat. Playboi Carti),92,42VsgItocQwOQC3XWZ8JNA
Top Songs - Global,SZA,Saturn,92,1bjeWoagtHmUKputLVyDxQ
Top Songs - Global,Myke Towers,LA FALDA,92,7iUtQNMRB8ZkKC4AmEuCJC
Top Songs - Global,Ariana Grande,"yes, and?",86,5D34wRmbFS29AjtTOP2QJe
Top Songs - Global,Tyla,Water,92,5aIVCx5tnk0ntmdiinnYvw
Top Songs - Global,Jack Harlow,Lovin On Me,93,4xhsWYTOGcal8zt0J161CU
Top Songs - Global,Michael Marcagi,Scared To Start,90,3Pbp7cUCx4d3OAkZSCoNvn
Top Songs - Global,Dua Lipa,Houdini,92,4OMJGnvZfDvsePyCwRGO7X
Top Songs - Global,Natasha Bedingfield,Unwritten,92,3U5JVgI2x4rDyHGObzJfNf
Top Songs - Global,Xavi,Corazón de Piedra,84,0dEAiKNbHt4mrjjoiL0loc
Top Songs - Global,Ariana Grande,intro (end of the world),88,2o1pb13quMReXZqE7jWsgq
Top Songs - Global,Ariana Grande,the boy is mine,89,0Lmbke3KNVFXtoH2mMSHCw
Top Songs - Global,Lord Huron,The Night We Met,80,0QZ5yyl6B6utIWkxeBDxQN
Top Songs - Global,Jung Kook,Seven (feat. Latto) (Explicit Ver.),86,2HRgqmZQC0MC7GeNuDIXHN
Top Songs - Global,Bad Bunny,PERRO NEGRO,92,7iQXYTyuG13aoeHxGG28Nh
Top Songs - Global,Xavi,La Víctima,92,5XVdHRf4CAJ2Jm0uMIy5qY
Top Songs - Global,Dua Lipa,Training Season,91,6Qb7YsAqH4wWFUMbGsCpap
Top Songs - Global,Olivia Rodrigo,vampire,91,1kuGVB7EU95pJObxwvfwKS
Top Songs - Global,YG Marley,Praise Jah In The Moonlight,92,3h5TiWTqGxjSjFrbruPFH9
Top Songs - Global,Zach Bryan,I Remember Everything (feat. Kacey Musgraves),91,4KULAymBBJcPRpk1yO4dOG
Top Songs - Global,The Weeknd,Starboy,91,7MXVkk9YMctZqd1Srtv4MB
Top Songs - Global,Jimin,Like Crazy,90,3Ua0m0YmEjrMi9XErKcNiR
Top Songs - Global,V,FRI(END)S,91,0PBTlQ84CBJF0tBnKGmQa6
Top Songs - Global,KAROL G,QLONA,90,5RqSsdzTNPX1uzkmlHCFvK
Top Songs - Global,Bryson Tiller,Whatever She Wants,90,57wp7VFnV8X0pSVnYArGeJ
